id,reservation_date,checkout_date,return_date,member_id
33,20/05/2017,23/05/2017,22/06/2017,2452
2,-,24/05/2017,23/06/2017,2293
27,22/05/2017,25/05/2017,24/06/2017,1613
25,23/05/2017,26/05/2017,25/06/2017,1677
11,-,27/05/2017,26/06/2017,1836
50,-,28/05/2017,27/06/2017,1227
25,26/05/2017,29/05/2017,28/06/2017,1586
24,-,30/05/2017,29/06/2017,2509
46,28/05/2017,31/05/2017,30/06/2017,2228
11,29/05/2017,01/06/2017,01/07/2017,1615
47,30/05/2017,02/06/2017,02/07/2017,1478
44,31/05/2017,03/06/2017,03/07/2017,1211
50,01/06/2017,04/06/2017,04/07/2017,1822
43,02/06/2017,05/06/2017,05/07/2017,1165
5,03/06/2017,06/06/2017,06/07/2017,1235
5,04/06/2017,07/06/2017,07/07/2017,1205
40,05/06/2017,08/06/2017,08/07/2017,1953
46,06/06/2017,09/06/2017,09/07/2017,1899
11,-,10/06/2017,10/07/2017,1889
6,08/06/2017,11/06/2017,11/07/2017,1746
48,09/06/2017,12/06/2017,12/07/2017,1075
7,-,13/06/2017,13/07/2017,2731
11,11/06/2017,14/06/2017,14/07/2017,2388
48,12/06/2017,15/06/2017,15/07/2017,1294
25,-,16/06/2017,16/07/2017,2602
34,14/06/2017,17/06/2017,17/07/2017,2382
7,15/06/2017,18/06/2017,18/07/2017,2636
12,16/06/2017,19/06/2017,19/07/2017,2376
19,17/06/2017,20/06/2017,20/07/2017,1486
34,18/06/2017,21/06/2017,21/07/2017,1267
37,19/06/2017,22/06/2017,22/07/2017,2558
35,20/06/2017,23/06/2017,23/07/2017,1103
28,21/06/2017,24/06/2017,24/07/2017,1526
34,22/06/2017,25/06/2017,25/07/2017,1466
21,23/06/2017,26/06/2017,26/07/2017,2025
18,24/06/2017,27/06/2017,27/07/2017,1367
46,25/06/2017,28/06/2017,28/07/2017,2516
26,26/06/2017,29/06/2017,29/07/2017,1477
41,-,30/06/2017,30/07/2017,1208
35,28/06/2017,01/07/2017,31/07/2017,1275
7,29/06/2017,02/07/2017,01/08/2017,2017
21,30/06/2017,03/07/2017,02/08/2017,1633
21,01/07/2017,04/07/2017,03/08/2017,2721
25,02/07/2017,05/07/2017,04/08/2017,1873
49,-,06/07/2017,05/08/2017,2169
46,04/07/2017,07/07/2017,06/08/2017,1955
27,05/07/2017,08/07/2017,07/08/2017,1470
34,06/07/2017,09/07/2017,08/08/2017,1071
26,07/07/2017,10/07/2017,09/08/2017,2178
45,08/07/2017,11/07/2017,10/08/2017,2036
32,09/07/2017,12/07/2017,11/08/2017,1221
35,-,13/07/2017,12/08/2017,1316
44,11/07/2017,14/07/2017,13/08/2017,2420
19,12/07/2017,15/07/2017,14/08/2017,1463
11,13/07/2017,16/07/2017,15/08/2017,1988
20,14/07/2017,17/07/2017,16/08/2017,1023
44,15/07/2017,18/07/2017,17/08/2017,1812
34,16/07/2017,19/07/2017,18/08/2017,1466
32,17/07/2017,20/07/2017,19/08/2017,2665
3,18/07/2017,21/07/2017,20/08/2017,1149
25,19/07/2017,22/07/2017,21/08/2017,2326
28,20/07/2017,23/07/2017,22/08/2017,2270
46,21/07/2017,24/07/2017,23/08/2017,1854
28,22/07/2017,25/07/2017,24/08/2017,2062
49,23/07/2017,26/07/2017,25/08/2017,1694
23,24/07/2017,27/07/2017,26/08/2017,1042
38,25/07/2017,28/07/2017,27/08/2017,1294
44,-,29/07/2017,28/08/2017,2529
11,-,30/07/2017,29/08/2017,1007
6,28/07/2017,31/07/2017,30/08/2017,1585
27,29/07/2017,01/08/2017,31/08/2017,1268
40,30/07/2017,02/08/2017,01/09/2017,1892
37,31/07/2017,03/08/2017,02/09/2017,2232
50,01/08/2017,04/08/2017,03/09/2017,1674
26,02/08/2017,05/08/2017,04/09/2017,1178
7,03/08/2017,06/08/2017,05/09/2017,2282
36,04/08/2017,07/08/2017,06/09/2017,1567
16,05/08/2017,08/08/2017,07/09/2017,1611
27,-,09/08/2017,08/09/2017,1741
42,07/08/2017,10/08/2017,09/09/2017,1778
33,08/08/2017,11/08/2017,10/09/2017,2470
2,09/08/2017,12/08/2017,11/09/2017,1605
43,10/08/2017,13/08/2017,12/09/2017,1695
37,11/08/2017,14/08/2017,13/09/2017,1637
19,12/08/2017,15/08/2017,14/09/2017,1603
2,13/08/2017,16/08/2017,15/09/2017,1087
4,14/08/2017,17/08/2017,16/09/2017,1755
9,15/08/2017,18/08/2017,17/09/2017,1041
7,16/08/2017,19/08/2017,18/09/2017,2521
41,17/08/2017,20/08/2017,19/09/2017,1850
3,18/08/2017,21/08/2017,20/09/2017,2286
6,19/08/2017,22/08/2017,21/09/2017,1502
35,20/08/2017,23/08/2017,22/09/2017,1552
30,21/08/2017,24/08/2017,23/09/2017,2296
45,22/08/2017,25/08/2017,24/09/2017,1931
2,-,26/08/2017,25/09/2017,1022
29,24/08/2017,27/08/2017,26/09/2017,1300
7,-,28/08/2017,27/09/2017,1838
21,26/08/2017,29/08/2017,28/09/2017,2311
26,27/08/2017,30/08/2017,29/09/2017,2527
4,28/08/2017,31/08/2017,30/09/2017,1067
23,29/08/2017,01/09/2017,01/10/2017,1166
50,30/08/2017,02/09/2017,02/10/2017,1489
23,31/08/2017,03/09/2017,03/10/2017,1218
45,01/09/2017,04/09/2017,04/10/2017,2471
29,-,05/09/2017,05/10/2017,1155
6,03/09/2017,06/09/2017,06/10/2017,2095
43,04/09/2017,07/09/2017,07/10/2017,1716
40,05/09/2017,08/09/2017,08/10/2017,2692
39,06/09/2017,09/09/2017,09/10/2017,1047
3,07/09/2017,10/09/2017,10/10/2017,2054
26,-,11/09/2017,11/10/2017,2601
2,09/09/2017,12/09/2017,12/10/2017,1177
42,10/09/2017,13/09/2017,13/10/2017,1589
37,-,14/09/2017,14/10/2017,1169
43,-,15/09/2017,15/10/2017,2384
17,13/09/2017,16/09/2017,16/10/2017,2087
2,14/09/2017,17/09/2017,17/10/2017,1529
11,15/09/2017,18/09/2017,18/10/2017,1111
12,16/09/2017,19/09/2017,19/10/2017,1548
40,17/09/2017,20/09/2017,20/10/2017,2087
47,-,21/09/2017,21/10/2017,2527
6,-,22/09/2017,22/10/2017,1916
6,20/09/2017,23/09/2017,23/10/2017,2521
9,21/09/2017,24/09/2017,24/10/2017,1489
21,22/09/2017,25/09/2017,25/10/2017,2161
15,23/09/2017,26/09/2017,26/10/2017,1234
5,24/09/2017,27/09/2017,27/10/2017,1821
49,25/09/2017,28/09/2017,28/10/2017,1310
6,26/09/2017,29/09/2017,29/10/2017,1627
33,27/09/2017,30/09/2017,30/10/2017,2356
47,28/09/2017,01/10/2017,31/10/2017,2303
47,29/09/2017,02/10/2017,01/11/2017,1210
29,30/09/2017,03/10/2017,02/11/2017,2066
18,-,04/10/2017,03/11/2017,2661
21,02/10/2017,05/10/2017,04/11/2017,1281
33,-,06/10/2017,05/11/2017,1415
24,04/10/2017,07/10/2017,06/11/2017,2272
9,05/10/2017,08/10/2017,07/11/2017,2246
33,06/10/2017,09/10/2017,08/11/2017,1549
7,07/10/2017,10/10/2017,09/11/2017,2621
5,-,11/10/2017,10/11/2017,1711
3,09/10/2017,12/10/2017,11/11/2017,1316
40,-,13/10/2017,12/11/2017,1804
39,11/10/2017,14/10/2017,13/11/2017,2692
12,12/10/2017,15/10/2017,14/11/2017,1991
45,-,16/10/2017,15/11/2017,2379
22,-,17/10/2017,16/11/2017,1564
23,15/10/2017,18/10/2017,17/11/2017,2204
17,16/10/2017,19/10/2017,18/11/2017,2519
37,17/10/2017,20/10/2017,19/11/2017,1007
48,18/10/2017,21/10/2017,20/11/2017,1761
9,19/10/2017,22/10/2017,21/11/2017,2016
1,20/10/2017,23/10/2017,22/11/2017,2092
36,-,24/10/2017,23/11/2017,2078
39,22/10/2017,25/10/2017,24/11/2017,1697
24,23/10/2017,26/10/2017,25/11/2017,2591
8,24/10/2017,27/10/2017,26/11/2017,2478
2,-,28/10/2017,27/11/2017,2163
20,26/10/2017,29/10/2017,28/11/2017,2237
12,27/10/2017,30/10/2017,29/11/2017,1746
29,28/10/2017,31/10/2017,30/11/2017,1485
44,29/10/2017,01/11/2017,01/12/2017,1666
42,30/10/2017,02/11/2017,02/12/2017,1912
35,31/10/2017,03/11/2017,03/12/2017,1281
44,01/11/2017,04/11/2017,04/12/2017,1490
42,02/11/2017,05/11/2017,05/12/2017,2103
49,03/11/2017,06/11/2017,06/12/2017,1125
3,04/11/2017,07/11/2017,07/12/2017,1077
16,05/11/2017,08/11/2017,08/12/2017,2648
34,06/11/2017,09/11/2017,09/12/2017,1853
43,07/11/2017,10/11/2017,10/12/2017,2534
28,-,11/11/2017,11/12/2017,1953
15,09/11/2017,12/11/2017,12/12/2017,1016
1,10/11/2017,13/11/2017,13/12/2017,1558
16,-,14/11/2017,14/12/2017,1838
13,12/11/2017,15/11/2017,15/12/2017,2459
26,13/11/2017,16/11/2017,16/12/2017,1542
24,14/11/2017,17/11/2017,17/12/2017,2558
3,-,18/11/2017,18/12/2017,2398
44,-,19/11/2017,19/12/2017,2154
31,17/11/2017,20/11/2017,20/12/2017,1361
13,18/11/2017,21/11/2017,21/12/2017,1181
28,19/11/2017,22/11/2017,22/12/2017,2212
10,20/11/2017,23/11/2017,23/12/2017,1488
36,21/11/2017,24/11/2017,24/12/2017,2680
7,22/11/2017,25/11/2017,25/12/2017,1564
45,23/11/2017,26/11/2017,26/12/2017,2376
33,24/11/2017,27/11/2017,27/12/2017,2145
42,-,28/11/2017,28/12/2017,1950
44,26/11/2017,29/11/2017,29/12/2017,1892
22,27/11/2017,30/11/2017,30/12/2017,1709
25,28/11/2017,01/12/2017,31/12/2017,1787
38,29/11/2017,02/12/2017,01/01/2018,1817
16,30/11/2017,03/12/2017,02/01/2018,2384
15,01/12/2017,04/12/2017,03/01/2018,2164
1,-,05/12/2017,04/01/2018,2688
26,03/12/2017,06/12/2017,05/01/2018,2041
28,04/12/2017,07/12/2017,06/01/2018,2622
31,05/12/2017,08/12/2017,07/01/2018,1558
37,06/12/2017,09/12/2017,08/01/2018,1642
11,07/12/2017,10/12/2017,09/01/2018,2537
21,-,11/12/2017,10/01/2018,1053
40,09/12/2017,12/12/2017,11/01/2018,1624
3,10/12/2017,13/12/2017,12/01/2018,1182
38,11/12/2017,14/12/2017,13/01/2018,1007
35,12/12/2017,15/12/2017,14/01/2018,1252
47,13/12/2017,16/12/2017,15/01/2018,1763
18,14/12/2017,17/12/2017,16/01/2018,1084
16,15/12/2017,18/12/2017,17/01/2018,2191
43,-,19/12/2017,18/01/2018,2411
16,17/12/2017,20/12/2017,19/01/2018,1543
45,18/12/2017,21/12/2017,20/01/2018,2378
25,19/12/2017,22/12/2017,21/01/2018,2657
34,20/12/2017,23/12/2017,22/01/2018,1347
40,21/12/2017,24/12/2017,23/01/2018,2466
41,22/12/2017,25/12/2017,24/01/2018,1004
1,23/12/2017,26/12/2017,25/01/2018,2646
23,24/12/2017,27/12/2017,26/01/2018,1736
43,-,28/12/2017,27/01/2018,2418
11,26/12/2017,29/12/2017,28/01/2018,2005
16,27/12/2017,30/12/2017,29/01/2018,1575
23,28/12/2017,31/12/2017,30/01/2018,1514
39,29/12/2017,01/01/2018,31/01/2018,2214
1,-,02/01/2018,01/02/2018,2597
17,31/12/2017,03/01/2018,02/02/2018,2633
45,01/01/2018,04/01/2018,03/02/2018,1833
21,02/01/2018,05/01/2018,04/02/2018,2068
4,03/01/2018,06/01/2018,05/02/2018,2115
38,04/01/2018,07/01/2018,06/02/2018,1748
40,05/01/2018,08/01/2018,07/02/2018,2504
37,06/01/2018,09/01/2018,08/02/2018,2069
35,07/01/2018,10/01/2018,09/02/2018,1457
2,08/01/2018,11/01/2018,10/02/2018,1826
12,09/01/2018,12/01/2018,11/02/2018,1484
9,-,13/01/2018,12/02/2018,2616
22,11/01/2018,14/01/2018,13/02/2018,2015
43,12/01/2018,15/01/2018,14/02/2018,1243
44,13/01/2018,16/01/2018,15/02/2018,1420
39,14/01/2018,17/01/2018,16/02/2018,2590
8,-,18/01/2018,17/02/2018,2483
45,16/01/2018,19/01/2018,18/02/2018,2394
2,17/01/2018,20/01/2018,19/02/2018,1262
23,18/01/2018,21/01/2018,20/02/2018,1734
6,19/01/2018,22/01/2018,21/02/2018,2677
23,20/01/2018,23/01/2018,22/02/2018,2668
42,21/01/2018,24/01/2018,23/02/2018,1356
9,22/01/2018,25/01/2018,24/02/2018,1416
50,23/01/2018,26/01/2018,25/02/2018,2359
31,24/01/2018,27/01/2018,26/02/2018,1290
25,-,28/01/2018,27/02/2018,1120
2,26/01/2018,29/01/2018,28/02/2018,1607
2,-,30/01/2018,01/03/2018,2351
42,28/01/2018,31/01/2018,02/03/2018,2401
12,29/01/2018,01/02/2018,03/03/2018,1202
23,30/01/2018,02/02/2018,04/03/2018,2331
15,31/01/2018,03/02/2018,05/03/2018,1991
33,-,04/02/2018,06/03/2018,2378
32,-,05/02/2018,07/03/2018,1362
42,03/02/2018,06/02/2018,08/03/2018,2120
3,04/02/2018,07/02/2018,09/03/2018,1588
5,05/02/2018,08/02/2018,10/03/2018,2583
26,06/02/2018,09/02/2018,11/03/2018,1301
7,07/02/2018,10/02/2018,12/03/2018,1338
7,08/02/2018,11/02/2018,13/03/2018,1455
41,-,12/02/2018,14/03/2018,1327
8,10/02/2018,13/02/2018,15/03/2018,2186
4,11/02/2018,14/02/2018,16/03/2018,1940
38,12/02/2018,15/02/2018,17/03/2018,1696
32,13/02/2018,16/02/2018,18/03/2018,1723
32,14/02/2018,17/02/2018,19/03/2018,2059
46,-,18/02/2018,20/03/2018,2451
1,-,19/02/2018,21/03/2018,1632
35,17/02/2018,20/02/2018,22/03/2018,1958
28,18/02/2018,21/02/2018,23/03/2018,2395
34,19/02/2018,22/02/2018,24/03/2018,1945
41,20/02/2018,23/02/2018,25/03/2018,1901
18,21/02/2018,24/02/2018,26/03/2018,1123
16,22/02/2018,25/02/2018,27/03/2018,2056
12,23/02/2018,26/02/2018,28/03/2018,1207
4,24/02/2018,27/02/2018,29/03/2018,2200
38,25/02/2018,28/02/2018,30/03/2018,2474
15,26/02/2018,01/03/2018,31/03/2018,2436
26,-,02/03/2018,01/04/2018,1476
24,28/02/2018,03/03/2018,02/04/2018,1486
35,01/03/2018,04/03/2018,03/04/2018,2723
46,02/03/2018,05/03/2018,04/04/2018,1989
31,-,06/03/2018,05/04/2018,1791
34,04/03/2018,07/03/2018,06/04/2018,1382
5,05/03/2018,08/03/2018,07/04/2018,2558
22,06/03/2018,09/03/2018,08/04/2018,2679
28,-,10/03/2018,09/04/2018,2632
38,08/03/2018,11/03/2018,10/04/2018,1394
30,09/03/2018,12/03/2018,11/04/2018,1547
2,10/03/2018,13/03/2018,12/04/2018,2171
9,11/03/2018,14/03/2018,13/04/2018,2507
15,12/03/2018,15/03/2018,14/04/2018,1451
19,13/03/2018,16/03/2018,15/04/2018,2671
30,14/03/2018,17/03/2018,16/04/2018,1493
9,-,18/03/2018,17/04/2018,1324
11,16/03/2018,19/03/2018,18/04/2018,1889
24,17/03/2018,20/03/2018,19/04/2018,1401
9,18/03/2018,21/03/2018,20/04/2018,2423
39,19/03/2018,22/03/2018,21/04/2018,1120
15,20/03/2018,23/03/2018,22/04/2018,1830
37,21/03/2018,24/03/2018,23/04/2018,1656
23,22/03/2018,25/03/2018,24/04/2018,2347
47,-,26/03/2018,25/04/2018,1604
9,24/03/2018,27/03/2018,26/04/2018,1760
32,25/03/2018,28/03/2018,27/04/2018,2374
24,26/03/2018,29/03/2018,28/04/2018,2617
26,27/03/2018,30/03/2018,29/04/2018,1223
36,28/03/2018,31/03/2018,30/04/2018,1550
17,29/03/2018,01/04/2018,01/05/2018,2409
5,30/03/2018,02/04/2018,02/05/2018,2732
26,31/03/2018,03/04/2018,03/05/2018,1079
30,-,04/04/2018,04/05/2018,2025
33,02/04/2018,05/04/2018,05/05/2018,2470
3,03/04/2018,06/04/2018,06/05/2018,2691
2,04/04/2018,07/04/2018,07/05/2018,1312
37,05/04/2018,08/04/2018,08/05/2018,2108
37,06/04/2018,09/04/2018,09/05/2018,1296
11,07/04/2018,10/04/2018,10/05/2018,2083
39,-,11/04/2018,11/05/2018,1978
21,09/04/2018,12/04/2018,12/05/2018,1331
2,10/04/2018,13/04/2018,13/05/2018,2206
29,11/04/2018,14/04/2018,14/05/2018,1244
15,12/04/2018,15/04/2018,15/05/2018,1738
28,13/04/2018,16/04/2018,16/05/2018,1258
28,14/04/2018,17/04/2018,17/05/2018,2394
20,-,18/04/2018,18/05/2018,2708
14,16/04/2018,19/04/2018,19/05/2018,2709
25,17/04/2018,20/04/2018,20/05/2018,2571
9,18/04/2018,21/04/2018,21/05/2018,1117
39,19/04/2018,22/04/2018,22/05/2018,1765
25,20/04/2018,23/04/2018,23/05/2018,2524
48,21/04/2018,24/04/2018,24/05/2018,1695
32,22/04/2018,25/04/2018,25/05/2018,1509
34,23/04/2018,26/04/2018,26/05/2018,1250
41,24/04/2018,27/04/2018,27/05/2018,2191
49,25/04/2018,28/04/2018,28/05/2018,2553
3,-,29/04/2018,29/05/2018,1702
28,27/04/2018,30/04/2018,30/05/2018,1274
29,28/04/2018,01/05/2018,31/05/2018,1761
43,29/04/2018,02/05/2018,01/06/2018,1507
29,30/04/2018,03/05/2018,02/06/2018,2136
45,01/05/2018,04/05/2018,03/06/2018,1209
38,02/05/2018,05/05/2018,04/06/2018,1991
29,-,06/05/2018,05/06/2018,1841
5,04/05/2018,07/05/2018,06/06/2018,1608
46,05/05/2018,08/05/2018,07/06/2018,2716
9,06/05/2018,09/05/2018,08/06/2018,2371
13,07/05/2018,10/05/2018,09/06/2018,1335
32,08/05/2018,11/05/2018,10/06/2018,2691
4,09/05/2018,12/05/2018,11/06/2018,2460
29,10/05/2018,13/05/2018,12/06/2018,1541
10,11/05/2018,14/05/2018,13/06/2018,2284
30,12/05/2018,15/05/2018,14/06/2018,1777
33,13/05/2018,16/05/2018,15/06/2018,2630
18,14/05/2018,17/05/2018,16/06/2018,2510
19,15/05/2018,18/05/2018,17/06/2018,2032
48,16/05/2018,19/05/2018,18/06/2018,1296
3,17/05/2018,20/05/2018,19/06/2018,1673
42,-,21/05/2018,20/06/2018,2198
44,-,22/05/2018,21/06/2018,1348
43,20/05/2018,23/05/2018,22/06/2018,1616
46,21/05/2018,24/05/2018,23/06/2018,2195
18,-,25/05/2018,24/06/2018,2398
45,23/05/2018,26/05/2018,25/06/2018,1280
3,24/05/2018,27/05/2018,26/06/2018,2519
43,25/05/2018,28/05/2018,27/06/2018,2639
18,26/05/2018,29/05/2018,28/06/2018,1367
33,27/05/2018,30/05/2018,29/06/2018,2357
20,28/05/2018,31/05/2018,30/06/2018,1553
7,29/05/2018,01/06/2018,01/07/2018,1975
45,-,02/06/2018,02/07/2018,1657
11,31/05/2018,03/06/2018,03/07/2018,2514
23,01/06/2018,04/06/2018,04/07/2018,1432
44,02/06/2018,05/06/2018,05/07/2018,1682
35,03/06/2018,06/06/2018,06/07/2018,1090
31,04/06/2018,07/06/2018,07/07/2018,2345
35,-,08/06/2018,08/07/2018,1678
33,06/06/2018,09/06/2018,09/07/2018,2318
50,07/06/2018,10/06/2018,10/07/2018,1825
42,08/06/2018,11/06/2018,11/07/2018,2649
46,-,12/06/2018,12/07/2018,1666
40,10/06/2018,13/06/2018,13/07/2018,2295
14,11/06/2018,14/06/2018,14/07/2018,1187
14,12/06/2018,15/06/2018,15/07/2018,1405
47,13/06/2018,16/06/2018,16/07/2018,1122
32,-,17/06/2018,17/07/2018,1820
45,15/06/2018,18/06/2018,18/07/2018,1572
19,16/06/2018,19/06/2018,19/07/2018,1530
49,17/06/2018,20/06/2018,20/07/2018,2157
33,-,21/06/2018,21/07/2018,1324
5,19/06/2018,22/06/2018,22/07/2018,1036
42,20/06/2018,23/06/2018,23/07/2018,1915
5,-,24/06/2018,24/07/2018,2008
43,22/06/2018,25/06/2018,25/07/2018,1885
4,23/06/2018,26/06/2018,26/07/2018,1594
6,24/06/2018,27/06/2018,27/07/2018,2416
13,25/06/2018,28/06/2018,28/07/2018,2076
38,26/06/2018,29/06/2018,29/07/2018,1129
36,27/06/2018,30/06/2018,30/07/2018,1276
44,28/06/2018,01/07/2018,31/07/2018,2217
1,29/06/2018,02/07/2018,01/08/2018,2095
12,-,03/07/2018,02/08/2018,1444
36,01/07/2018,04/07/2018,03/08/2018,2696
40,-,05/07/2018,04/08/2018,1769
4,03/07/2018,06/07/2018,05/08/2018,1499
3,-,07/07/2018,06/08/2018,2589
31,05/07/2018,08/07/2018,07/08/2018,2204
11,06/07/2018,09/07/2018,08/08/2018,1533
7,-,10/07/2018,09/08/2018,1394
14,-,11/07/2018,10/08/2018,2708
